id,genre,class,num_class,popularity,duration,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0nbXyq5TXYPCO7pr3N8S4I,melodic rap,rap,0,89,196652,0.896,0.586,0.0,0.79,-6.687,0.0,0.0559,116.971,0.642
696DnlkuDOXcMAnKlTgXXK,pop rap,pop,1,86,163636,0.621,0.601,0.0,0.46,-5.616,0.0,0.148,116.735,0.457
21jGcNKet2qwijlDFuPiPb,dfw rap,rap,0,90,215280,0.695,0.762,0.00244,0.0863,-3.497,1.0,0.0395,120.042,0.553
6Gg1gjgKi2AK4e0qzsR7sd,chicago rap,rap,0,84,189322,0.474,0.631,0.0,0.132,-5.884,0.0,0.343,180.051,0.425
1rgnBhdG2JDFTbYkYRZAku,australian pop,pop,1,69,209754,0.825,0.593,0.000161,0.17,-6.401,0.0,0.0988,98.078,0.54
2Ec33AVlkTTq8BHFgBTdQs,melodic rap,rap,0,71,198912,0.881,0.457,0.0,0.231,-8.191,0.0,0.156,136.97,0.296
0RiRZpuVRbi7oqRdSMwhQY,dfw rap,rap,0,83,157560,0.755,0.522,0.0,0.0685,-4.368,1.0,0.0575,89.96,0.925
3QzAOrNlsabgbMwlZt7TAY,cali rap,rap,0,84,180434,0.809,0.545,0.0,0.151,-6.678,1.0,0.0735,97.008,0.244
2Fxmhks0bxGSBdJ92vM42m,electropop,pop,1,89,194087,0.701,0.425,0.13,0.1,-10.965,1.0,0.375,135.128,0.562
3ZCTVFBt2Brf31RLEnCkWJ,electropop,pop,1,87,245425,0.704,0.225,0.657,0.106,-14.454,0.0,0.0994,120.006,0.243
1iSqfoUFnQwV0QW1EfUit8,melodic rap,rap,0,80,222997,0.735,0.369,0.0,0.126,-9.682,0.0,0.0688,140.004,0.235
6gi6y1xwmVszDWkUqab1qw,rap,rap,0,84,157712,0.802,0.591,0.0,0.196,-4.895,1.0,0.225,139.864,0.309
3jjujdWJ72nww5eGnfs2E7,pop,pop,1,88,207133,0.676,0.771,7e-06,0.102,-3.675,1.0,0.0483,99.048,0.569
3eekarcy7kvN4yt5ZFzltW,rap,rap,0,88,175720,0.598,0.427,5.83e-06,0.21,-8.764,0.0,0.0317,76.469,0.0605
7aiClxsDWFRQ0Kzk5KI5ku,electropop,pop,1,17,185093,0.778,0.559,0.0,0.399,-7.109,0.0,0.0776,129.989,0.678
6WrI0LAC5M1Rw2MnX2ZvEg,dance pop,pop,1,86,183290,0.794,0.793,0.0,0.0952,-4.521,0.0,0.0842,123.941,0.677
3yOlyBJuViE2YSGn3nVE1K,dance pop,pop,1,82,170746,0.724,0.491,1.29e-05,0.0887,-6.024,1.0,0.0296,105.046,0.383
7ntUbTIwmwOD6ygCMRZT6e,gangster rap,rap,0,61,201270,0.774,0.836,2.44e-05,0.0824,-2.323,0.0,0.152,112.014,0.494
5qmq61DAAOUaW8AUo8xKhh,dance pop,pop,1,72,173325,0.715,0.624,0.0,0.123,-3.046,0.0,0.114,158.087,0.412
6UelLqGlWMcVH1E5c4H7lY,pop,pop,1,92,174000,0.548,0.816,0.0,0.335,-4.209,1.0,0.0465,95.39,0.557
3VyjsVV24RmBIbWJAeUJNu,rap,rap,0,9,154424,0.651,0.631,0.000579,0.165,-5.717,0.0,0.0896,127.994,0.35
285pBltuF7vW8TeWk8hdRR,chicago rap,rap,0,89,239835,0.511,0.566,0.0,0.34,-7.23,0.0,0.2,83.903,0.218
2b8fOow8UzyDFAE27YhOZM,pop,pop,1,89,189486,0.764,0.32,0.0,0.0822,-7.209,1.0,0.0546,91.019,0.575
